O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
1265346,60017,O,268894.93,1996-10-10,3-MEDIUM,Clerk#000000344,0,unts. bravely bold attainments nod fluffily. spec,60017,Customer#000060017,kBV62efx6B6Iw2VsRxqEr1sKQ,1,11-139-952-4191,3653.17,AUTOMOBILE,inal packages. ironic dinos cajole against the care
1275425,60040,O,1731.48,1995-11-19,3-MEDIUM,Clerk#000000782,0,final requests are slyly along the slyly special pinto beans. multipl,60040,Customer#000060040,7h5ewM0d9iNA,4,14-208-209-8223,3446.78,MACHINERY,"ronic platelets. unusual, final foxes"
1295009,60061,O,3099.49,1996-01-30,1-URGENT,Clerk#000000332,0, final deposits nag special foxes. slyly regular platelets c,60061,Customer#000060061,vYxaVWbpszoT8qQBdaizgWRSQGe,14,24-289-526-7060,5349.63,BUILDING,onic foxes nag blithely slyly express foxes. blithely fina
1296227,60035,O,35522.71,1996-11-30,1-URGENT,Clerk#000000980,0,y ironic requests integrate carefu,60035,Customer#000060035,"pNlmNfCzO8VyidrSxb1,xLDVe72pA8AaSgjM",13,23-458-688-7730,7189.50,MACHINERY,"ular pinto beans thrash after the instructions. bold, express dolphins affix. blithely regular attainments use furi"
1298052,60043,F,251514.84,1993-09-16,3-MEDIUM,Clerk#000000853,0,odolites cajole. accounts cajole slyly after the quickly regular requests. ca,60043,Customer#000060043,6SLQTGRhNJBKEJl9aekego5iwHgy,0,10-115-238-4882,737.03,HOUSEHOLD,"sly final requests use furiously along the stealthily final excuses. express, even accounts"
1300741,60085,F,114062.75,1994-06-12,2-HIGH,Clerk#000000499,0, unusual packages detect fu,60085,Customer#000060085,zT3KxXIO d,19,29-726-930-4080,7957.74,MACHINERY,hely unusual orbits. furiously ironic courts cajole. slyly even theodolites sleep quickly silent
1324513,60046,O,20842.81,1996-08-02,3-MEDIUM,Clerk#000000615,0,symptotes boost carefully along the pending asymptotes. ironic ac,60046,Customer#000060046,VnzEPMAo8c9UxMI6,20,30-318-671-3782,1022.57,AUTOMOBILE, carefully unusual packages boost carefully across the furious
1328673,60062,O,306845.81,1996-04-23,4-NOT SPECIFIED,Clerk#000000311,0,egular ideas. excuses x-ray busily. ca,60062,Customer#000060062,"1SI,x4F9 zO22 F7OGksMBSUWu5AUpP",0,10-604-525-3386,6210.99,FURNITURE,ons cajole blithely. bold theodolites along
1334119,60059,O,216368.37,1995-10-06,2-HIGH,Clerk#000000421,0,"across the express, special deposits cajole according to the pending d",60059,Customer#000060059,"dZISBokE9NWaz13 b5WbOHrd8DifA,e2yict0",24,34-348-323-9173,2337.46,HOUSEHOLD,"ndencies. excuses sleep. quickly daring dugouts cajole furiously. carefully final accounts across the final, bold"
1334149,60013,O,147751.14,1996-01-04,4-NOT SPECIFIED,Clerk#000000325,0,counts are carefully. carefully even deposits boost about the careful,60013,Customer#000060013,i3t71FC4ucTs8fIEfmPwJky,0,10-394-817-3861,-485.69,MACHINERY,ecial foxes are blithely fluffily even pinto beans. ironic accounts boost. blithely regular packages h
1339813,60034,F,270778.42,1992-09-12,2-HIGH,Clerk#000000951,0,sts about the quick accounts sleep alongside of the slyly iron,60034,Customer#000060034, XHRzdojlNAuRjTNRn7A1aL9OYJj56nud1sVss,14,24-991-831-7826,7230.69,AUTOMOBILE,"sts. final packages along the daringly bold ideas haggle blithely slyly careful requests. unusual, bold as"
1340256,60092,F,262464.21,1993-11-20,1-URGENT,Clerk#000000980,0,". even, final theodolites haggle. slyly regular accounts acc",60092,Customer#000060092,7HlwD5NMv4G1iaQGEN3,3,13-875-733-5313,6711.67,AUTOMOBILE, even accounts cajole furiously. furiously unusua
1342114,60092,F,120094.93,1992-06-12,1-URGENT,Clerk#000000618,0,"ve the regular, ironic packages snooze furiously abo",60092,Customer#000060092,7HlwD5NMv4G1iaQGEN3,3,13-875-733-5313,6711.67,AUTOMOBILE, even accounts cajole furiously. furiously unusua
1345699,60052,O,121253.80,1997-03-01,4-NOT SPECIFIED,Clerk#000000745,0,carefully special requests,60052,Customer#000060052,"jygrlXgrjEIaVsH14eKreo,ldCsK",16,26-331-160-8399,4515.17,HOUSEHOLD,"pecial deposits sleep. bold, special accounts haggle ironically slyly even packages. blithely pending packages are"
1360614,60100,F,161007.95,1993-01-26,1-URGENT,Clerk#000000691,0,ts boost furiously. closely regular ideas are. carefully even th,60100,Customer#000060100,9CZqojrnLk ZY,16,26-775-586-4254,-5.85,HOUSEHOLD,y doggedly ironic theodolites. caref
1364868,60001,F,161087.34,1994-10-16,3-MEDIUM,Clerk#000000777,0,nts. furiously unusual foxes breach slyly. bold,60001,Customer#000060001,9Ii4zQn9cX,14,24-678-784-9652,9957.56,HOUSEHOLD,l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend
1372839,60031,F,179016.84,1993-09-22,4-NOT SPECIFIED,Clerk#000000343,0,refully bold accounts are blithely final pinto beans. quickly iron,60031,Customer#000060031,RsGAZJyxQopaxWfk5,8,18-381-736-7702,6765.74,FURNITURE,cial deposits. ironic requests across the iro
1378500,60059,F,219725.22,1992-03-11,5-LOW,Clerk#000000514,0,"run carefully even, unusual ins",60059,Customer#000060059,"dZISBokE9NWaz13 b5WbOHrd8DifA,e2yict0",24,34-348-323-9173,2337.46,HOUSEHOLD,"ndencies. excuses sleep. quickly daring dugouts cajole furiously. carefully final accounts across the final, bold"
1382661,60037,O,248563.73,1997-10-23,2-HIGH,Clerk#000000581,0,ly special foxes affix fluffily. furiously even foxes,60037,Customer#000060037,CwMXJOZEIpfMBG Ou8i,4,14-558-867-3263,1032.42,MACHINERY," regular, slow asymptotes cajole carefully after the even packages. regular ex"
1395141,60011,O,61250.22,1995-06-09,5-LOW,Clerk#000000497,0,carefully bold requests. final ,60011,Customer#000060011,"Y GqUG1QEdWr8 zkApzAXLkjOe,XMnJvV6,",8,18-421-991-6811,3422.48,BUILDING,se carefully even deposits. carefully pending requests cajole furiously p
1406208,60001,O,157883.33,1997-07-17,4-NOT SPECIFIED,Clerk#000000571,0,uests sleep fluffily,60001,Customer#000060001,9Ii4zQn9cX,14,24-678-784-9652,9957.56,HOUSEHOLD,l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend
1427910,60025,O,153498.38,1996-06-26,2-HIGH,Clerk#000000693,0,its. quickly even deposits are among the expre,60025,Customer#000060025,fHgT5BscCU4NDQzn,22,32-222-885-5210,7296.15,MACHINERY, pains cajole slyly permanently regular deposits. carefully ruthless packages sleep. even excuses nag slyly!
1428165,60005,O,193248.12,1997-01-06,4-NOT SPECIFIED,Clerk#000000823,0, furiously. furiously unusua,60005,Customer#000060005,"1F3KM3ccEXEtI, B22XmCMOWJMl",12,22-741-208-1316,2504.74,MACHINERY,express instructions sleep quickly. ironic braids cajole furiously fluffily p
1428864,60061,O,97927.54,1996-11-19,1-URGENT,Clerk#000000148,0,efully! furiously express instructions nod fluffily besides the even d,60061,Customer#000060061,vYxaVWbpszoT8qQBdaizgWRSQGe,14,24-289-526-7060,5349.63,BUILDING,onic foxes nag blithely slyly express foxes. blithely fina
1433280,60013,O,10937.83,1997-02-21,3-MEDIUM,Clerk#000000618,0,"nt, regular requests-- carefully bol",60013,Customer#000060013,i3t71FC4ucTs8fIEfmPwJky,0,10-394-817-3861,-485.69,MACHINERY,ecial foxes are blithely fluffily even pinto beans. ironic accounts boost. blithely regular packages h
1433447,60038,O,148577.82,1996-04-14,4-NOT SPECIFIED,Clerk#000000084,0,"enticing multipliers. special, regular a",60038,Customer#000060038, FBvBksLyQsKovVujfq8XQ,7,17-472-497-4468,2771.18,HOUSEHOLD,"g ideas about the express, special asymptotes wake fluffily special, bold asymptotes. blithel"
1440451,60073,F,138376.40,1993-01-25,5-LOW,Clerk#000000175,0,"final requests cajole furiously. quick, special dependencies haggle carefully",60073,Customer#000060073,eo4xUXOM4rx2WP3nEdXZzhBzRFC7oZZ,9,19-269-905-4200,731.03,MACHINERY,xpress requests. blithely special pinto beans x-ray fluffily along the furiously special dolphins. blithely final th
1446342,60037,F,51358.91,1992-01-27,2-HIGH,Clerk#000000009,0,timents! furiously pending pinto beans wake above the dolphins. blit,60037,Customer#000060037,CwMXJOZEIpfMBG Ou8i,4,14-558-867-3263,1032.42,MACHINERY," regular, slow asymptotes cajole carefully after the even packages. regular ex"
1456739,60037,O,246290.67,1998-01-22,1-URGENT,Clerk#000000995,0,slyly special court,60037,Customer#000060037,CwMXJOZEIpfMBG Ou8i,4,14-558-867-3263,1032.42,MACHINERY," regular, slow asymptotes cajole carefully after the even packages. regular ex"
1459142,60005,F,155879.93,1992-01-31,3-MEDIUM,Clerk#000000516,0,ckages. slyly thin asymptotes detect blithely ironic deposits. final packages,60005,Customer#000060005,"1F3KM3ccEXEtI, B22XmCMOWJMl",12,22-741-208-1316,2504.74,MACHINERY,express instructions sleep quickly. ironic braids cajole furiously fluffily p
1459395,60088,F,117371.71,1993-05-12,2-HIGH,Clerk#000000901,0,ffy packages haggle ,60088,Customer#000060088,xllgZf63jONKni,20,30-896-444-2387,312.90,AUTOMOBILE,ly. blithely regular asymptotes use after the dep
1464166,60083,O,44473.62,1995-08-04,2-HIGH,Clerk#000000587,0,ts inside the quickly unusual requests haggle above the care,60083,Customer#000060083,"9MS,Ga67eiTauESHzSMGleXPP",12,22-811-334-7808,8430.43,FURNITURE,ly pending requests: furiously ironic deposits ca
1468998,60016,O,85390.85,1997-11-13,5-LOW,Clerk#000000866,0,en packages haggle blithely alongs,60016,Customer#000060016,"i5JCEL8FRYSLvOs1Lkqn30a,1jherLDP",2,12-259-973-3236,4480.97,HOUSEHOLD,"ongside of the final, pending dolphins? final theodolites ha"
1469315,60017,O,230049.29,1997-07-01,3-MEDIUM,Clerk#000000694,0,its should have to sleep furiously ideas. slyly final pac,60017,Customer#000060017,kBV62efx6B6Iw2VsRxqEr1sKQ,1,11-139-952-4191,3653.17,AUTOMOBILE,inal packages. ironic dinos cajole against the care
1486470,60028,F,134445.23,1993-01-06,3-MEDIUM,Clerk#000000531,0,tructions cajole across the regular packages. bold instructions are blit,60028,Customer#000060028,qoxXSl3gyR5EnAsp,6,16-234-762-4451,3494.99,FURNITURE,e the quickly unusual theodolites cajole slyly blithely r
1498599,60001,F,96548.34,1993-01-02,1-URGENT,Clerk#000000320,0,regular theodolites. express account,60001,Customer#000060001,9Ii4zQn9cX,14,24-678-784-9652,9957.56,HOUSEHOLD,l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend
1508994,60091,F,181121.98,1992-03-14,1-URGENT,Clerk#000000112,0,thely ironic packages a,60091,Customer#000060091,"RKrW9,uKOmAqJVIt5",22,32-987-142-9547,9919.95,BUILDING,ake fluffily ironic dolphins. f
1513856,60074,O,113439.19,1995-09-16,4-NOT SPECIFIED,Clerk#000000271,0,unts. quickly final deposits lose fi,60074,Customer#000060074,"iSYTpN9,YZnCxj8L",1,11-891-864-7463,8364.34,FURNITURE,ording to the blithely final requests. carefully even packages wake blit
1522918,60050,O,66345.76,1995-11-11,5-LOW,Clerk#000000872,0,onic deposits. slyly express dependencies,60050,Customer#000060050,"gGFB2vQ,gT2gRGSSDE",16,26-622-811-1720,5181.99,FURNITURE, carefully bold deposits are after the carefully regular instructions. ideas about the ironic requests are ironic
1523332,60085,O,184168.23,1995-09-22,5-LOW,Clerk#000000067,0,nding deposits wake among the f,60085,Customer#000060085,zT3KxXIO d,19,29-726-930-4080,7957.74,MACHINERY,hely unusual orbits. furiously ironic courts cajole. slyly even theodolites sleep quickly silent
1523745,60041,F,124868.60,1994-07-14,2-HIGH,Clerk#000000939,0,ckages sleep above the even packag,60041,Customer#000060041,"7v,yuEy1eSGCIR",8,18-726-365-9334,1943.82,FURNITURE,elets haggle furiously after the regular depend
1527495,60040,P,159077.71,1995-05-10,3-MEDIUM,Clerk#000000090,0,ounts. furiously regular ideas nag,60040,Customer#000060040,7h5ewM0d9iNA,4,14-208-209-8223,3446.78,MACHINERY,"ronic platelets. unusual, final foxes"
1540100,60044,F,63919.46,1994-07-26,5-LOW,Clerk#000000280,0,nts are carefully. carefully ,60044,Customer#000060044,h0Pq22NKefS3TAEzNX pwRXnRMUbIbi4Gg,4,14-935-681-4749,-812.91,FURNITURE,ly alongside of the final requests. ironic pains across the deposits affix slyly agains
1546277,60055,O,260513.43,1998-06-24,1-URGENT,Clerk#000000809,0,ounts. quickly regular excuses along the requests print quickly pinto beans,60055,Customer#000060055,XkEd61ySvE933LKafILNEH SkdC36eftDuo4Yji,10,20-477-978-6479,3725.35,MACHINERY,ctions print slyly furiously regular asymptotes. quickly special theodolites
1547587,60031,O,237957.80,1995-06-29,5-LOW,Clerk#000000559,0,sts. furiously final deposit,60031,Customer#000060031,RsGAZJyxQopaxWfk5,8,18-381-736-7702,6765.74,FURNITURE,cial deposits. ironic requests across the iro
1549699,60088,F,49962.87,1993-11-27,3-MEDIUM,Clerk#000000507,0,. blithely ironic pinto beans above the furiously ,60088,Customer#000060088,xllgZf63jONKni,20,30-896-444-2387,312.90,AUTOMOBILE,ly. blithely regular asymptotes use after the dep
1551366,60020,O,118415.79,1997-02-26,4-NOT SPECIFIED,Clerk#000000799,0,"ess accounts wake fluffily instructions. regular, regular deposits integra",60020,Customer#000060020,JlAdCcLE8wEqFc0,15,25-432-919-9170,1187.30,FURNITURE,equests use slyly after the ironic accounts. regular deposits haggle. ironically unusual theod
1554343,60014,F,136394.40,1992-02-06,1-URGENT,Clerk#000000880,0,"ly slow ideas nag. bold, even dolphins use carefully above the close, pen",60014,Customer#000060014,4PiiMY zaWY1W4hVpXEzdkRQrskLaq,16,26-322-873-9166,7932.15,FURNITURE,ic ideas along the bold packages u
1554464,60047,O,31315.73,1997-12-25,2-HIGH,Clerk#000000447,0,"ic, pending asymptotes serve again",60047,Customer#000060047,"FETxgdO1 Nn,HkjnlMNx3dvUrM4qMlf",2,12-721-745-5342,2264.76,HOUSEHOLD,nding accounts sleep furiously c
1563072,60061,F,254274.69,1992-10-13,4-NOT SPECIFIED,Clerk#000000933,0,er quickly even packages. carefully pending ,60061,Customer#000060061,vYxaVWbpszoT8qQBdaizgWRSQGe,14,24-289-526-7060,5349.63,BUILDING,onic foxes nag blithely slyly express foxes. blithely fina
1565153,60088,O,103833.82,1995-06-06,3-MEDIUM,Clerk#000000417,0,ial asymptotes across the fluffily even deposits cajole closely alongside,60088,Customer#000060088,xllgZf63jONKni,20,30-896-444-2387,312.90,AUTOMOBILE,ly. blithely regular asymptotes use after the dep
1570981,60002,F,251141.18,1994-05-06,2-HIGH,Clerk#000000597,0,arefully even ideas cajole quickly before the theodolites. fluffily ironic ,60002,Customer#000060002,ThGBMjDwKzkoOxhz,15,25-782-500-8435,742.46,BUILDING, beans. fluffily regular packages
1571554,60019,O,145329.44,1998-07-02,1-URGENT,Clerk#000000753,0,ainments. carefully bold instructions integrate slyly. st,60019,Customer#000060019,kSI6njhnR ApXo031vtmCAaXo,1,11-624-666-9689,3444.77,MACHINERY,ncies. blithely silent gifts above the carefully 
1581412,60046,F,155156.35,1993-03-11,2-HIGH,Clerk#000000617,0,"osits. bold, regular platelets use carefully accor",60046,Customer#000060046,VnzEPMAo8c9UxMI6,20,30-318-671-3782,1022.57,AUTOMOBILE, carefully unusual packages boost carefully across the furious
1591527,60023,O,19120.95,1996-12-24,2-HIGH,Clerk#000000687,0,ackages eat quickly carefully final foxes. slyly bold pa,60023,Customer#000060023,"xW88V4b5xKDArlo0qP,z XmrcQ R",21,31-806-887-2010,-12.97,MACHINERY, the fluffily final somas. ideas haggle above the quickly final requ
1601316,60067,O,171981.00,1996-04-27,4-NOT SPECIFIED,Clerk#000000896,0,nding instructions haggle carefully. furiously special instructions sleep,60067,Customer#000060067,"LC9126Kz5Xl5yGn5Wz3E,JJeBeFMiB",4,14-490-596-5723,1874.19,HOUSEHOLD,ts wake alongside of the carefully silent pinto beans. slyly ironic decoys cajole quickly. qu
1602021,60076,O,116363.55,1995-12-24,2-HIGH,Clerk#000000937,0,"y express packages. pending, final gifts sleep furiousl",60076,Customer#000060076,L8fTINc0fbWJ,20,30-402-978-3763,3040.10,MACHINERY,"kly final packages. unusual, even foxes after the even, regu"
1610147,60082,O,51079.67,1995-06-23,2-HIGH,Clerk#000000477,0,sly bold deposits. requests according,60082,Customer#000060082,"x3V6vEbLSeUjYdjS1MvR2,u4gB0S 9d8UEJ",0,10-729-863-1818,3645.47,BUILDING, the accounts. furiously unusual
1612806,60001,F,29203.61,1994-06-03,1-URGENT,Clerk#000000779,0,aggle: unusual dolphins should sleep furi,60001,Customer#000060001,9Ii4zQn9cX,14,24-678-784-9652,9957.56,HOUSEHOLD,l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend
1613699,60088,P,230820.24,1995-03-15,5-LOW,Clerk#000000208,0,xpress requests. depths solve furiously above ,60088,Customer#000060088,xllgZf63jONKni,20,30-896-444-2387,312.90,AUTOMOBILE,ly. blithely regular asymptotes use after the dep
1613862,60043,O,134653.26,1997-04-06,2-HIGH,Clerk#000000408,0,"special pinto beans. ironic, final deposits dazzle. regular depos",60043,Customer#000060043,6SLQTGRhNJBKEJl9aekego5iwHgy,0,10-115-238-4882,737.03,HOUSEHOLD,"sly final requests use furiously along the stealthily final excuses. express, even accounts"
1620288,60092,F,163857.10,1992-06-04,1-URGENT,Clerk#000000330,0,ress accounts sleep slyly about the slyly express foxes. slyly iro,60092,Customer#000060092,7HlwD5NMv4G1iaQGEN3,3,13-875-733-5313,6711.67,AUTOMOBILE, even accounts cajole furiously. furiously unusua
1628295,60055,F,254594.76,1994-07-03,4-NOT SPECIFIED,Clerk#000000848,0,"final, regular packages. carefully even excuses nag slyly iro",60055,Customer#000060055,XkEd61ySvE933LKafILNEH SkdC36eftDuo4Yji,10,20-477-978-6479,3725.35,MACHINERY,ctions print slyly furiously regular asymptotes. quickly special theodolites
1630661,60013,O,251780.04,1997-08-07,1-URGENT,Clerk#000000337,0,ounts. special ideas nag slyly across the sauternes. ,60013,Customer#000060013,i3t71FC4ucTs8fIEfmPwJky,0,10-394-817-3861,-485.69,MACHINERY,ecial foxes are blithely fluffily even pinto beans. ironic accounts boost. blithely regular packages h
1633472,60001,O,97308.99,1996-07-02,1-URGENT,Clerk#000000190,0,"osits. bold, pending packages are quickly final ",60001,Customer#000060001,9Ii4zQn9cX,14,24-678-784-9652,9957.56,HOUSEHOLD,l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend
1639267,60065,F,129012.95,1994-05-20,1-URGENT,Clerk#000000476,0,"ial, busy accounts haggle blithely ironic packages? care",60065,Customer#000060065,AJT1hcmeo67Oyv3QOnGge2FUI72Fd07Rbp2ABF,17,27-870-969-8066,9757.39,BUILDING,fily carefully unusual accounts. blithe deposits wake furiously.
1645184,60085,F,188316.45,1992-05-16,1-URGENT,Clerk#000000691,0,eposits. ironic requests are carefully. boldly unusu,60085,Customer#000060085,zT3KxXIO d,19,29-726-930-4080,7957.74,MACHINERY,hely unusual orbits. furiously ironic courts cajole. slyly even theodolites sleep quickly silent
1647174,60025,F,29334.21,1992-08-10,5-LOW,Clerk#000000331,0,"arly final asymptotes: bold, final foxes use after the furiously ",60025,Customer#000060025,fHgT5BscCU4NDQzn,22,32-222-885-5210,7296.15,MACHINERY, pains cajole slyly permanently regular deposits. carefully ruthless packages sleep. even excuses nag slyly!
1647297,60097,O,53041.38,1995-10-18,2-HIGH,Clerk#000000078,0,s sleep furiously regular packages. quickly pending accounts in,60097,Customer#000060097,I55jg art2HQL8YEHwh8FgEx,21,31-526-630-1617,1626.61,FURNITURE,. even asymptotes sleep even dependencies. blithely pending depo
1652038,60019,F,243360.84,1993-05-12,4-NOT SPECIFIED,Clerk#000000205,0,gular pinto beans. furiously ironic accounts sublate quic,60019,Customer#000060019,kSI6njhnR ApXo031vtmCAaXo,1,11-624-666-9689,3444.77,MACHINERY,ncies. blithely silent gifts above the carefully 
1665570,60064,O,204765.31,1995-08-16,2-HIGH,Clerk#000000539,0,n accounts. regular ,60064,Customer#000060064,mAUZ1TMU3IZZlVrL1azR dfua8WLHay4QzMOrR5,9,19-918-643-8328,8026.04,AUTOMOBILE,pecial accounts among the fluffily even packages n
1670082,60037,O,59603.43,1995-07-14,1-URGENT,Clerk#000000219,0,ctions sleep unusual pinto beans. fluffily pending ideas are carefully. furi,60037,Customer#000060037,CwMXJOZEIpfMBG Ou8i,4,14-558-867-3263,1032.42,MACHINERY," regular, slow asymptotes cajole carefully after the even packages. regular ex"
1670816,60088,O,160969.01,1995-04-21,1-URGENT,Clerk#000000458,0,ickly express platelets wake among the bold deposits. care,60088,Customer#000060088,xllgZf63jONKni,20,30-896-444-2387,312.90,AUTOMOBILE,ly. blithely regular asymptotes use after the dep
1673191,60091,O,324060.36,1997-06-17,1-URGENT,Clerk#000000510,0,pinto beans haggle slyly express requests. caref,60091,Customer#000060091,"RKrW9,uKOmAqJVIt5",22,32-987-142-9547,9919.95,BUILDING,ake fluffily ironic dolphins. f
1675555,60061,P,232034.71,1995-03-28,3-MEDIUM,Clerk#000000398,0,above the ironic frets. furiously regula,60061,Customer#000060061,vYxaVWbpszoT8qQBdaizgWRSQGe,14,24-289-526-7060,5349.63,BUILDING,onic foxes nag blithely slyly express foxes. blithely fina
1683074,60034,F,156312.48,1994-01-20,3-MEDIUM,Clerk#000000647,0,s. regular instructions a,60034,Customer#000060034, XHRzdojlNAuRjTNRn7A1aL9OYJj56nud1sVss,14,24-991-831-7826,7230.69,AUTOMOBILE,"sts. final packages along the daringly bold ideas haggle blithely slyly careful requests. unusual, bold as"
1690789,60007,F,68463.21,1994-03-15,5-LOW,Clerk#000000395,0,"heodolites. even, regular deposits boost ",60007,Customer#000060007,"sp6KJmx,TiSWbMPvhkQwFwTuhSi4a5OLNImpcGI",12,22-491-919-9470,6017.17,FURNITURE,bold packages. regular sheaves mold. blit
1699171,60019,O,232529.56,1995-07-15,1-URGENT,Clerk#000000978,0,s sleep slyly ironic,60019,Customer#000060019,kSI6njhnR ApXo031vtmCAaXo,1,11-624-666-9689,3444.77,MACHINERY,ncies. blithely silent gifts above the carefully 
1700096,60019,F,61722.27,1992-10-26,4-NOT SPECIFIED,Clerk#000000754,0,furiously final accounts haggle after the accounts. slyly ,60019,Customer#000060019,kSI6njhnR ApXo031vtmCAaXo,1,11-624-666-9689,3444.77,MACHINERY,ncies. blithely silent gifts above the carefully 
1702947,60016,O,174267.08,1998-03-14,3-MEDIUM,Clerk#000000195,0,"lent instructions. pending, regular accounts promise slyly ",60016,Customer#000060016,"i5JCEL8FRYSLvOs1Lkqn30a,1jherLDP",2,12-259-973-3236,4480.97,HOUSEHOLD,"ongside of the final, pending dolphins? final theodolites ha"
1718049,60088,F,65876.65,1993-04-11,2-HIGH,Clerk#000000583,0, mold boldly; final packages haggle blithely against the ironic requests. f,60088,Customer#000060088,xllgZf63jONKni,20,30-896-444-2387,312.90,AUTOMOBILE,ly. blithely regular asymptotes use after the dep
1725280,60064,O,216294.39,1997-01-11,5-LOW,Clerk#000000652,0, theodolites detect slyly furiously regular accounts? slyly bold,60064,Customer#000060064,mAUZ1TMU3IZZlVrL1azR dfua8WLHay4QzMOrR5,9,19-918-643-8328,8026.04,AUTOMOBILE,pecial accounts among the fluffily even packages n
1725831,60019,F,191894.81,1994-12-21,1-URGENT,Clerk#000000101,0, instructions wake blithely evenly regular,60019,Customer#000060019,kSI6njhnR ApXo031vtmCAaXo,1,11-624-666-9689,3444.77,MACHINERY,ncies. blithely silent gifts above the carefully 
1741381,60034,O,175849.46,1998-03-07,1-URGENT,Clerk#000000955,0,"esias. ironic, pending deposits are busily! unusual pa",60034,Customer#000060034, XHRzdojlNAuRjTNRn7A1aL9OYJj56nud1sVss,14,24-991-831-7826,7230.69,AUTOMOBILE,"sts. final packages along the daringly bold ideas haggle blithely slyly careful requests. unusual, bold as"
1742247,60016,P,196837.21,1995-05-01,2-HIGH,Clerk#000000864,0,"rnes. thinly stealthy theodolites x-ray: express, special instructions",60016,Customer#000060016,"i5JCEL8FRYSLvOs1Lkqn30a,1jherLDP",2,12-259-973-3236,4480.97,HOUSEHOLD,"ongside of the final, pending dolphins? final theodolites ha"
